# time, velocity, voltage, acceleration, goal, lastError
25.330000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.340000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.350000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.360000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.370000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.380000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.390000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.400000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.410000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.420000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.430000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.440000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.450000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.460000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.470000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.480000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.490000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.500000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.510000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.520000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.530000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.540000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.550000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.560000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.570000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.580000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.590000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.600000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.610000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.620000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.630000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.640000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.650000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.660000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.670000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.680000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.690000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.700000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.710000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.720000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.730000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.740000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.750000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.760000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.770000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.780000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.790000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.800000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.810000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.820000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.830000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.840000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.850000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.860000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.870000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.880000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.890000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.900000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.910000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.920000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.930000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.940000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.950000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.960000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.970000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.980000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.990000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.000000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.010000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.020000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.030000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.040000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.050000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.060000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.070000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.080000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.090000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.100000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.110000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.120000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.130000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.140000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.150000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.160000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.170000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.180000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.190000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.200000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.210000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.220000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.230000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.240000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.250000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.260000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.270000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
26.280000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
